Estado;Nombre oficial2​;Superficie (km²)3​;Abrev.;Ingreso en la Unión;Población (2010)4​;Densidad de población (hab/km²);Capital;Ciudad con mayor población (2006)5​;Bandera
Alabama;State of Alabama;135 756;AL;14-12-1819;4 779 736;35,21;Montgomery;Birmingham;
Alaska;State of Alaska;1 717 854;AK;03/01/1959;710 231;0,41;Juneau;Anchorage;
Arizona;State of Arizona;295 254;AZ;14/02/1912;6 392 017;21,65;Phoenix;Phoenix;
Arkansas;State of Arkansas;137 732;AR;15-06-1836;2 915 918;21,17;Little Rock;Little Rock;
California;State of California;423 970;CA;09-09-1850;37 253 956;87,87;Sacramento;Los Ángeles;
Carolina del Norte;State of North Carolina;139 389;NC;21-11-1789;9 535 483;68,41;Raleigh;Charlotte;
Carolina del Sur;State of South Carolina;82 932;SC;23-05-1788;4 625 364;55,77;Columbia;Columbia6​;
Colorado;State of Colorado;269 601;CO;01-08-1876;5 029 196;18,65;Denver;Denver;
Connecticut;State of Connecticut;14 357;CT;09-01-1788;3 574 097;248,94;Hartford;Bridgeport7​;
Dakota del Norte;State of North Dakota;183 112;ND;02-11-1889;672 591;3,67;Bismarck;Fargo;
Dakota del Sur;State of South Dakota;199 731;SD;02-11-1889;814 180;4,08;Pierre;Sioux Falls;
Delaware;State of Delaware;6 447;DE;07-12-1787;897 934;139,28;Dover;Wilmington;
Florida;State of Florida;170 304;FL;03-03-1845;18 801 310;110,4;Tallahassee;Jacksonville8​;
Georgia;State of Georgia;153 909;GA;02-01-1788;9 687 653;62,94;Atlanta;Atlanta;
Hawái9​;State of Hawaii,;28 311;HI;21/08/1959;1 360 301;48,05;Honolulu;Honolulu;
;Moku'āina o Hawai'i;;;;;;;;
Idaho;State of Idaho;216 446;ID;03-07-1890;1 567 582;7,24;Boise;Boise;
Illinois;State of Illinois;149 998;IL;03-12-1818;12 830 632;85,54;Springfield;Chicago;
Indiana;State of Indiana;94 321;IN;11-12-1816;6 483 802;68,74;Indianápolis;Indianápolis;
Iowa;State of Iowa;145 743;IA;28-12-1846;3 046 355;20,9;Des Moines;Des Moines;
Kansas;State of Kansas;213 096;KS;29-01-1861;2 853 118;13,39;Topeka;Wichita;
Kentucky;Commonwealth of Kentucky;104 659;KY;01-06-1792;4 339 367;41,46;Frankfort;Louisville;
Luisiana10​;State of Louisiana,;134 264;LA;30-04-1812;4 533 372;33,76;Baton Rouge;Nueva Orleans11​;
;État de Louisiane;;;;;;;;
Maine;State of Maine;91 646;ME;15-03-1820;1 328 361;14,49;Augusta;Portland;
Maryland;State of Maryland;32 133;MD;28-04-1788;5 773 552;179,68;Annapolis;Baltimore12​;
Massachusetts;Commonwealth of Massachusetts;27 336;MA;06-02-1788;6 547 629;239,52;Boston;Boston;
Míchigan13​;State of Michigan;250 494;MI;26-01-1837;9 883 640;39,46;Lansing;Detroit;
Minnesota;State of Minnesota;225 171;MN;11-05-1858;5 303 925;23,56;Saint Paul;Mineápolis;
Misisipi14​;State of Mississippi;125 434;MS;10-12-1817;2 967 297;23,66;Jackson;Jackson;
Misuri15​;State of Missouri;180 533;MO;10-08-1821;5 988 927;33,17;Jefferson City;Kansas City16​;
Montana;State of Montana;380 838;MT;08-11-1889;989 415;2,6;Helena;Billings;
Nebraska;State of Nebraska;200 345;NE;01-03-1867;1 826 341;9,12;Lincoln;Omaha;
Nevada;State of Nevada;286 351;NV;31-10-1864;2 700 551;9,43;Carson City;Las Vegas;
Nueva Jersey17​;State of New Jersey;22 588;NJ;18-12-1787;8 791 894;389,23;Trenton;Newark18​;
Nueva York19​;State of New York;141 299;NY;26-07-1788;19 378 102;137,14;Albany;Nueva York;
Nuevo Hampshire20​;State of New Hampshire;24 216;NH;21-06-1788;1 316 470;54,36;Concord;Mánchester21​;
Nuevo México22​;State of New Mexico,;314 915;NM;06/01/1912;2 059 179;6,54;Santa Fe;Albuquerque;
;Estado de Nuevo México;;;;;;;;
Ohio;State of Ohio;116 096;OH;01-03-1803;11 536 504;99,37;Columbus;Columbus23​;
Oklahoma;State of Oklahoma;181 035;OK;16/11/1907;3 751 351;20,72;Oklahoma City;Oklahoma City;
Oregón24​;State of Oregon;254 805;OR;14-02-1859;3 831 074;15,04;Salem;Portland;
Pensilvania25​;Commonwealth of Pennsylvania;119 283;PA;12-12-1787;12 702 379;106,49;Harrisburg;Filadelfia;
Rhode Island;State of Rhode Island;4 002;RI;29-05-1790;1 052 567;263,01;Providence;Providence;
Tennessee;State of Tennessee;109 151;TN;01-06-1796;6 346 105;58,14;Nashville;Memphis26​;
Texas27​;State of Texas;695 621;TX;29-12-1845;25 145 561;36,15;Austin;Houston28​;
Utah;State of Utah;219 887;UT;04-01-1896;2 763 885;12,57;Salt Lake City;Salt Lake City;
Vermont;State of Vermont;24 901;VT;04-03-1791;625 741;25,13;Montpelier;Burlington;
Virginia;Commonwealth of Virginia;110 785;VA;25-06-1788;8 001 024;72,22;Richmond;Virginia Beach29​;
Virginia Occidental;State of West Virginia;62 755;WV;20-06-1863;1 852 994;29,53;Charleston;Charleston;
Washington;State of Washington;184 665;WA;11-11-1889;6 724 540;36,41;Olympia;Seattle;
Wisconsin;State of Wisconsin;169 639;WI;29-05-1848;5 686 986;33,52;Madison;Milwaukee;
Wyoming;State of Wyoming;253 336;WY;10-07-1890;563 626;2,22;Cheyenne;Cheyenne;
